similarity,candidate_id_a,candidate_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,decision
0.998373,DISC-MEDIA-0585,SAT-EARLY-MEDIA-002,Missing Millions From Lonmin Fund Prompts Community Pay Reform,Missing millions from Lonmin fund prompts community pay reform,2016,2016,Engineering News,Mining Weekly / Bloomberg,https://www.engineeringnews.co.za/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,https://www.miningweekly.com/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,manual_review_near_duplicate
0.998264,DISC-MEDIA-0378,SAT-EARLY-MEDIA-005,Bapo Cancel Protest March Against Lonmin After Reaching New Employment Deal,Bapo cancel protest march against Lonmin after reaching new employment deal,2015,2015,Engineering News,Mining Weekly / African News Agency,https://www.engineeringnews.co.za/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,https://www.miningweekly.com/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,manual_review_near_duplicate
0.995152,expanded_media_candidates__EXP-MEDIA-007,DISC-MEDIA-0679,Union puts chamber on spot over alleged Lonmin breach,Union Puts Chamber On Spot Over Alleged Lonmin Breach,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-09-06,https://www.engineeringnews.co.za/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-08-26,manual_review_near_duplicate
0.993672,DISC-MEDIA-0638,DISC-MEDIA-0639,Sibanye Highlights Lonmin Drdgold Deal Attractions At Denver,Sibanye Highlights Lonmin Drdgold Deal Attractions At Denver,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/sibanye-highlights-lonmin-drdgold-deal-attractions-at-denver-2018-09-26,https://www.engineeringnews.co.za/article/sibanye-highlights-lonmin-drdgold-deal-attractions-at-denver-2018-10-05,manual_review_near_duplicate
0.993660,DISC-MEDIA-0615,DISC-MEDIA-0616,Resilient Lonmin Beats Guidance Ups Cash,Resilient Lonmin Beats Guidance Ups Cash,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-beats-guidance-ups-cash-2017-11-03,https://www.engineeringnews.co.za/article/resilient-lonmin-beats-guidance-ups-cash-2017-11-17,manual_review_near_duplicate
0.993161,DISC-MEDIA-0508,DISC-MEDIA-0509,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,2015,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-08-27,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-09-04,manual_review_near_duplicate
0.992641,DISC-MEDIA-0625,DISC-MEDIA-0626,Sa Mining Challenges About Far More Than Marikana Migrant Labour Manuel,Sa Mining Challenges About Far More Than Marikana Migrant Labour Manuel,2013,2013,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/sa-mining-challenges-about-far-more-than-marikana-migrant-labour-manuel-2013-08-30,https://www.engineeringnews.co.za/article/sa-mining-challenges-about-far-more-than-marikana-migrant-labour-manuel-2013-09-13,manual_review_near_duplicate
0.992318,DISC-MEDIA-0474,DISC-MEDIA-0475,Lonmin Paid 1678M In Taxes Royalties During 2018 Financial Year,Lonmin Paid 1678M In Taxes Royalties During 2018 Financial Year,2019,2019,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-paid-1678m-in-taxes-royalties-during-2018-financial-year-2019-04-01,https://www.engineeringnews.co.za/article/lonmin-paid-1678m-in-taxes-royalties-during-2018-financial-year-2019-04-12,manual_review_near_duplicate
0.992105,DISC-MEDIA-0428,DISC-MEDIA-0429,Lonmin Buys Remaining Pandora Stake,Lonmin Buys Remaining Pandora Stake,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-buys-remaining-pandora-stake-2017-05-15,https://www.engineeringnews.co.za/article/lonmin-buys-remaining-pandora-stake-2017-05-26,manual_review_near_duplicate
0.991713,DISC-MEDIA-0491,DISC-MEDIA-0492,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,2016,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-14,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-25,manual_review_near_duplicate
0.991694,DISC-MEDIA-0459,DISC-MEDIA-0460,Lonmin Inks Landmark Bee Deals With Traditional Community,Lonmin Inks Landmark Bee Deals With Traditional Community,2014,2014,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-08-08,manual_review_near_duplicate
0.991240,expanded_media_candidates__EXP-MEDIA-001,DISC-MEDIA-0412,It's business unusual at 'improving' Lonmin – Munroe,Its Business Unusual At Improving Lonmin Munroe,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-05,manual_review_near_duplicate
0.990879,DISC-MEDIA-0662,DISC-MEDIA-0663,South Africa Must Prosecute 2012 Marikana Deaths Amnesty Says,South Africa Must Prosecute 2012 Marikana Deaths Amnesty Says,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/south-africa-must-prosecute-2012-marikana-deaths-amnesty-says-2017-08-15,https://www.engineeringnews.co.za/article/south-africa-must-prosecute-2012-marikana-deaths-amnesty-says-2017-08-25,manual_review_near_duplicate
0.990828,DISC-MEDIA-0460,SAT-EARLY-MEDIA-001,Lonmin Inks Landmark Bee Deals With Traditional Community,Lonmin inks landmark BEE deals with traditional community,2014,2014,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-08-08,https://www.miningweekly.com/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,manual_review_near_duplicate
0.990718,DISC-MEDIA-0549,DISC-MEDIA-0550,Magara Takes The Reins At Lonmin Furnace Restarted,Magara Takes The Reins At Lonmin Furnace Restarted,2013,2013,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-01,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-12,manual_review_near_duplicate
0.990423,DISC-MEDIA-0387,DISC-MEDIA-0388,Community Members Accelerate Bid Against Key R564M Lonmin Bee Deal,Community Members Accelerate Bid Against R564M Lonmin Bee Deal,2015,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/community-members-accelerate-bid-against-key-r564m-lonmin-bee-deal-2015-06-11,https://www.engineeringnews.co.za/article/community-members-accelerate-bid-against-r564m-lonmin-bee-deal-2015-06-19,manual_review_near_duplicate
0.990382,MEDIA-024,DISC-MEDIA-0436,"Lonmin, AMCU celebrate finalisation of landmark BEE equity deal",Lonmin Communities Celebrate Conclusion Of Bee Deals,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,https://www.engineeringnews.co.za/article/lonmin-communities-celebrate-conclusion-of-bee-deals-2014-12-04,manual_review_near_duplicate
0.988337,DISC-MEDIA-0617,DISC-MEDIA-0618,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-01-22,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-02-02,manual_review_near_duplicate
0.988310,MEDIA-033,DISC-MEDIA-0666,Strike-hit mothers have no food to put on the table – Lonmin,Strike Hit Mothers Have No Food To Put On The Table Lonmin,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-11,manual_review_near_duplicate
0.987931,MEDIA-026,DISC-MEDIA-0452,"Lonmin cuts workforce, shrinks capex, lowers unit costs",Lonmin Employee Cut Half Done Capex Shrunk Unit Costs Lower,2015,2015,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-cuts-workforce-shrinks-capex-lowers-unit-costs-2015-11-13,https://www.engineeringnews.co.za/article/lonmin-employee-cut-half-done-capex-shrunk-unit-costs-lower-2015-11-02,manual_review_near_duplicate
0.987376,DISC-MEDIA-0424,DISC-MEDIA-0425,Lonmin Boosts Turnaround On Upped Output Suffers Fatalities,Lonmin Boosts Turnaround On Upped Production But Suffers Fatalities,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-boosts-turnaround-on-upped-output-suffers-fatalities-2017-07-28,https://www.engineeringnews.co.za/article/lonmin-boosts-turnaround-on-upped-production-but-suffers-fatalities-2017-07-17,manual_review_near_duplicate
0.986762,MEDIA-016,DISC-MEDIA-0528,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-25,manual_review_near_duplicate
0.986583,DISC-MEDIA-0636,DISC-MEDIA-0648,Sibanye Expects Lonmin Competition Finality October,Sibanye Stillwater Expects Lonmin Competition Finality In October,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/sibanye-expects-lonmin-competition-finality-october-2018-08-27,https://www.engineeringnews.co.za/article/sibanye-stillwater-expects-lonmin-competition-finality-in-october-2018-08-27,manual_review_near_duplicate
0.985327,DISC-MEDIA-0521,DISC-MEDIA-0522,Lonmin To Shut Idle High Cost Operations,Lonmin To Shut Idle High Cost Operations,2015,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-shut-idle-high-cost-operations-2015-07-24,https://www.engineeringnews.co.za/article/lonmin-to-shut-idle-high-cost-operations-2015-08-07,manual_review_near_duplicate
0.984302,MEDIA-051,DISC-MEDIA-0646,Sibanye plans to cut 5 270 jobs as it restructures Marikana operations,Sibanye Plans To Cut 5 270 Jobs As It Restructures Marikana Operations,2019,2019,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,https://www.engineeringnews.co.za/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-10-04,manual_review_near_duplicate
0.984299,expanded_media_candidates__EXP-MEDIA-003,DISC-MEDIA-0514,Lonmin to derecognise smaller unions in favour of AMCU,Lonmin To Derecognise Smaller Unions In Favour Of Amcu,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,https://www.engineeringnews.co.za/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-14,manual_review_near_duplicate
0.984012,MEDIA-031,DISC-MEDIA-0450,Lonmin donates 50 ha of land for residential development,Lonmin Donates 50 Ha Of Land For Residential Development,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,https://www.engineeringnews.co.za/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-11-08,manual_review_near_duplicate
0.983970,DISC-MEDIA-0392,DISC-MEDIA-0431,Consolidation Needed To Save Jobs Lonmin,Lonmin Ceo Pleads For Consolidation Approval To Save 20 000 Jobs,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/consolidation-needed-to-save-jobs-lonmin-2018-05-25,https://www.engineeringnews.co.za/article/lonmin-ceo-pleads-for-consolidation-approval-to-save-20-000-jobs-2018-05-14,manual_review_near_duplicate
0.983018,DISC-MEDIA-0646,WEB-MEDIA-001,Sibanye Plans To Cut 5 270 Jobs As It Restructures Marikana Operations,Sibanye to cut 5 270 jobs as it restructures Marikana operations,2019,2019,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-10-04,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,manual_review_near_duplicate
0.982881,DISC-MEDIA-0538,DISC-MEDIA-0539,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,2015,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-01-29,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-02-06,manual_review_near_duplicate
0.980791,MEDIA-044,DISC-MEDIA-0523,Lonmin transaction filed with South Africa's competition authority,Lonmin Transaction Filed With South Africas Competition Authority,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,https://www.engineeringnews.co.za/article/lonmin-transaction-filed-with-south-africas-competition-authority-2018-03-16,manual_review_near_duplicate
0.980706,DISC-MEDIA-0506,DISC-MEDIA-0507,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,2014,2014,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-10,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-21,manual_review_near_duplicate
0.978360,DISC-MEDIA-0668,DISC-MEDIA-0669,Thakadu To Build 14M Nickel Beneficiation Plant At Lonmin Refinery,Thakadu To Build 14M Nickel Beneficiation Plant At Lonmin Refinery,2016,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/thakadu-to-build-14m-nickel-beneficiation-plant-at-lonmin-refinery-2016-11-16,https://www.engineeringnews.co.za/article/thakadu-to-build-14m-nickel-beneficiation-plant-at-lonmin-refinery-2016-11-25,manual_review_near_duplicate
0.978306,DISC-MEDIA-0534,DISC-MEDIA-0535,Lonmins Cfo To Exit,Lonmins Cfo To Exit,2016,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-12,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-22,manual_review_near_duplicate
0.977116,expanded_media_candidates_batch1__EXP-MEDIA-038,DISC-MEDIA-0456,Lonmin hands over New Marikana primary school to Basic Education dept,Lonmin Hands Over New Marikana Primary School To Basic Education Dept,2018,2018,Engineering News / Creamer Media,Engineering News,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-04-06,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-03-23,manual_review_near_duplicate
0.976624,MEDIA-047,DISC-MEDIA-0675,"Tribunal approves Sibanye, Lonmin merger; imposes 6-month moratorium on retrenchments",Tribunal Approves Sibanye Lonmin Merger Imposes 6 Month Moratorium On Retrenchments,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,https://www.engineeringnews.co.za/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-30,manual_review_near_duplicate
0.970460,DISC-MEDIA-0454,DISC-MEDIA-0486,Lonmin Employee Killed In Mudslide,Lonmin Reports Fatality At Rowland Shaft,2015,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-employee-killed-in-mudslide-2015-10-27,https://www.engineeringnews.co.za/article/lonmin-reports-fatality-at-rowland-shaft-2016-05-09,manual_review_near_duplicate
0.967442,MEDIA-048,DISC-MEDIA-0526,"Lonmin undertakes refinancing, delivers on results promise",Lonmin Undertakes Refinancing Delivers On Results Promise,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-11-02,manual_review_near_duplicate
0.966763,DISC-MEDIA-0560,DISC-MEDIA-0561,Marikana K4Platinum Group Metals Project South Africa Update,Marikana K4Platinum Group Metals Project South Africa Update,2023,2023,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-03-03,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-04-07,manual_review_near_duplicate
0.965708,MEDIA-042,DISC-MEDIA-0590,Nothing off table as Lonmin pursues value in low platinum price environment,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07-1,manual_review_near_duplicate
0.964867,DISC-MEDIA-0503,DISC-MEDIA-0504,Lonmin Share Price Rises As Company Reports Higher Fy Production Earnings,Lonmin Share Price Rises As Company Reports Higher Fy Production Earnings,2013,2013,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-11,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-22,manual_review_near_duplicate
0.963484,DISC-MEDIA-0385,DISC-MEDIA-0505,Commission Of Inquiry Into The Marikana Massacre Outcomes,Lonmin Shares Rise As Workers Help Prevent Shaft Closure,2015,2014,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/commission-of-inquiry-into-the-marikana-massacre-outcomes-2015-06-26,https://www.engineeringnews.co.za/article/lonmin-shares-rise-as-workers-help-prevent-shaft-closure-2014-11-13,manual_review_near_duplicate
0.957491,DISC-MEDIA-0402,DISC-MEDIA-0454,Full Ownership Of Pandora Jv Set To Unlock Significant Potential For Lonmin,Lonmin Employee Killed In Mudslide,2018,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/full-ownership-of-pandora-jv-set-to-unlock-significant-potential-for-lonmin-2018-01-19,https://www.engineeringnews.co.za/article/lonmin-employee-killed-in-mudslide-2015-10-27,manual_review_near_duplicate
0.955538,DISC-MEDIA-0402,DISC-MEDIA-0505,Full Ownership Of Pandora Jv Set To Unlock Significant Potential For Lonmin,Lonmin Shares Rise As Workers Help Prevent Shaft Closure,2018,2014,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/full-ownership-of-pandora-jv-set-to-unlock-significant-potential-for-lonmin-2018-01-19,https://www.engineeringnews.co.za/article/lonmin-shares-rise-as-workers-help-prevent-shaft-closure-2014-11-13,manual_review_near_duplicate
0.955419,DISC-MEDIA-0385,DISC-MEDIA-0402,Commission Of Inquiry Into The Marikana Massacre Outcomes,Full Ownership Of Pandora Jv Set To Unlock Significant Potential For Lonmin,2015,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/commission-of-inquiry-into-the-marikana-massacre-outcomes-2015-06-26,https://www.engineeringnews.co.za/article/full-ownership-of-pandora-jv-set-to-unlock-significant-potential-for-lonmin-2018-01-19,manual_review_near_duplicate
0.955275,DISC-MEDIA-0483,DISC-MEDIA-0486,Lonmin Reports Fatality After E1 Shaft Tramming Accident,Lonmin Reports Fatality At Rowland Shaft,2016,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-reports-fatality-after-e1-shaft-tramming-accident-2016-11-11,https://www.engineeringnews.co.za/article/lonmin-reports-fatality-at-rowland-shaft-2016-05-09,manual_review_near_duplicate
0.955031,DISC-MEDIA-0395,DISC-MEDIA-0469,Despite Disappointing Q1 Production Figures Lonmin Maintains Fy17 Guidance,Lonmin Maintains Fy17 Guidance Despite Weaker Than Expected Production Numbers,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/despite-disappointing-q1-production-figures-lonmin-maintains-fy17-guidance-2017-01-26,https://www.engineeringnews.co.za/article/lonmin-maintains-fy17-guidance-despite-weaker-than-expected-production-numbers-2017-02-03,manual_review_near_duplicate
0.954499,DISC-MEDIA-0519,DISC-MEDIA-0520,Lonmin To Sell Excess Processing Capacity Implement Other Measures To Ensure Sustainability,Lonmin To Sell Excess Processing Capacity Implement Other Measures To Ensure Sustainability,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-sell-excess-processing-capacity-implement-other-measures-to-ensure-sustainability-2017-08-07,https://www.engineeringnews.co.za/article/lonmin-to-sell-excess-processing-capacity-implement-other-measures-to-ensure-sustainability-2017-08-18,manual_review_near_duplicate
0.953919,DISC-MEDIA-0402,DISC-MEDIA-0486,Full Ownership Of Pandora Jv Set To Unlock Significant Potential For Lonmin,Lonmin Reports Fatality At Rowland Shaft,2018,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/full-ownership-of-pandora-jv-set-to-unlock-significant-potential-for-lonmin-2018-01-19,https://www.engineeringnews.co.za/article/lonmin-reports-fatality-at-rowland-shaft-2016-05-09,manual_review_near_duplicate
0.953237,DISC-MEDIA-0454,DISC-MEDIA-0505,Lonmin Employee Killed In Mudslide,Lonmin Shares Rise As Workers Help Prevent Shaft Closure,2015,2014,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-employee-killed-in-mudslide-2015-10-27,https://www.engineeringnews.co.za/article/lonmin-shares-rise-as-workers-help-prevent-shaft-closure-2014-11-13,manual_review_near_duplicate
0.953110,DISC-MEDIA-0454,DISC-MEDIA-0483,Lonmin Employee Killed In Mudslide,Lonmin Reports Fatality After E1 Shaft Tramming Accident,2015,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-employee-killed-in-mudslide-2015-10-27,https://www.engineeringnews.co.za/article/lonmin-reports-fatality-after-e1-shaft-tramming-accident-2016-11-11,manual_review_near_duplicate
0.951461,DISC-MEDIA-0443,DISC-MEDIA-0454,Lonmin Coo Steps Down,Lonmin Employee Killed In Mudslide,2017,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-coo-steps-down-2017-03-06,https://www.engineeringnews.co.za/article/lonmin-employee-killed-in-mudslide-2015-10-27,manual_review_near_duplicate
