candidate_doc_id,source_block,membership_status,notes
MEDIA-034,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-035,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-036,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-037,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-038,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-039,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-040,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-041,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-042,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-043,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-044,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-045,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-046,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-047,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-048,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-049,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-050,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-051,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-052,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-053,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-054,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-055,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-056,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-057,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-058,media,provisional,"One of 58 pre-label media recovery candidates"
CORP-001,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-002,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-003,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-004,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-006,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-007,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-008,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-009,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-010,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-011,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
CORP-012,corporate,provisional,"One of 11 corporate candidates with a specific verified document/report source"
