candidate_id,title,year,publisher,url,evidence_class,retrieved_lonmin_mentions,retrieved_sibanye_mentions,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms
SEC-MEDIA-0050,Amcus Mathunjwa Sees Platinum Wage Deals On The Horizon,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-10-02-amcus-mathunjwa-sees-platinum-wage-deals-on-the-horizon/,strong_case_context_supported,0,1,marikana,1,strike;worker_miner;shooting_death;wage;union,5,,0,share_price,1
SEC-MEDIA-0197,Amcu Refers Platinum Wage Talks With Sibanye To Ccma,2019,Engineering News,https://www.engineeringnews.co.za/article/amcu-refers-platinum-wage-talks-with-sibanye-to-ccma-2019-10-01,strong_case_context_supported,0,5,marikana,1,worker_miner;wage;union,3,commission_inquiry,1,earnings_results,1
SEC-MEDIA-0212,Amcu Says Workers In Platinum Sector May Back Wage Offers,2019,Engineering News,https://www.engineeringnews.co.za/article/amcu-says-workers-in-platinum-sector-may-back-wage-offers-2019-11-07,strong_case_context_supported,0,5,marikana,1,strike;worker_miner;wage;union,4,,0,earnings_results,1
SEC-MEDIA-0577,Sibanye Ceo Sees Wage Strike Unlikely At Platinum Mines,2019,Engineering News,https://www.engineeringnews.co.za/article/sibanye-ceo-sees-wage-strike-unlikely-at-platinum-mines-2019-10-25,strong_case_context_supported,0,2,marikana,1,strike;worker_miner;wage;union,4,commission_inquiry,1,earnings_results,1
SEC-MEDIA-0712,Sibanye May Resume Dividend Payments If Metals Prices Hold,2019,Engineering News,https://www.engineeringnews.co.za/article/sibanye-may-resume-dividend-payments-if-metals-prices-hold-2019-10-31,strong_case_context_supported,0,9,marikana,2,strike;worker_miner,2,,0,earnings_results;production_output;dividend_rights;exploration_project,4
SEC-MEDIA-0054,Cry Of The Xcluded Saftu And Amcu Put Differences Aside To Fight Austerity And Ignite The Left,2020,Daily Maverick,https://www.dailymaverick.co.za/article/2020-02-12-cry-of-the-xcluded-saftu-and-amcu-put-differences-aside-to-fight-austerity-and-ignite-the-left/,strong_case_context_supported,0,0,marikana,1,strike;worker_miner;shooting_death;wage;union;protest_unrest,6,,0,funding_debt,1
SEC-MEDIA-0057,Amcus Joseph Mathunjwa Knows When To Take On Capital,2020,Daily Maverick,https://www.dailymaverick.co.za/article/2020-05-05-amcus-joseph-mathunjwa-knows-when-to-take-on-capital/,strong_case_context_supported,0,1,marikana,1,strike;worker_miner;shooting_death;wage;union;protest_unrest,6,justice_accountability,1,earnings_results;production_output;funding_debt,3
SEC-MEDIA-0061,Sibanye Stillwater Turns Dividend Tap Back On As H1 Earnings Soar,2020,Daily Maverick,https://www.dailymaverick.co.za/article/2020-08-27-sibanye-stillwater-turns-dividend-tap-back-on-as-h1-earnings-soar/,strong_case_context_supported,1,9,marikana,3,,0,community,1,share_price;earnings_results;production_output;transaction;dividend_rights;commodity_market,6
SEC-MEDIA-0266,Analysts Raise Local Platinum Gold Expansion Opportunities For Cash Flush Sibanye,2020,Engineering News,https://www.engineeringnews.co.za/article/analysts-raise-local-platinum-gold-expansion-opportunities-for-cash-flush-sibanye-2020-08-30,strong_case_context_supported,1,14,marikana,5,strike,1,community;commission_inquiry,2,share_price;earnings_results;production_output;funding_debt;transaction;dividend_rights;exploration_project;commodity_market,8
SEC-MEDIA-0846,Sibanye Stillwater Earnings Soar 718 R13Bn Dividend Declared,2020,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwater-earnings-soar-718-r13bn-dividend-declared-2020-08-27,strong_case_context_supported,0,4,marikana,7,strike,1,community,1,share_price;earnings_results;production_output;funding_debt;dividend_rights;exploration_project;commodity_market,7
SEC-MEDIA-0912,Sibanye Stillwater Welcomes Pragmatic Partial Mining Resumption,2020,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwater-welcomes-pragmatic-partial-mining-resumption-2020-04-23,strong_case_context_supported,1,4,marikana,1,,0,community,1,earnings_results;production_output;exploration_project,3
SEC-MEDIA-0980,Sibanyes Interim Earnings Boosted By Higher Prices Weaker Dollar,2020,Engineering News,https://www.engineeringnews.co.za/article/sibanyes-interim-earnings-boosted-by-higher-prices-weaker-dollar-2020-08-14,strong_case_context_supported,0,5,marikana,1,strike;worker_miner;union,3,,0,share_price;earnings_results;production_output;commodity_market,4
SEC-MEDIA-0981,Sibanyes Jse Listed Shares Rise On Upbeat Trading Update,2020,Engineering News,https://www.engineeringnews.co.za/article/sibanyes-jse-listed-shares-rise-on-upbeat-trading-update-2020-02-14,strong_case_context_supported,0,3,marikana,1,strike;worker_miner,2,,0,share_price;earnings_results,2
SEC-MEDIA-0070,Unions Once Again Present United Front This Time In Sibanye Wage Talks,2021,Daily Maverick,https://www.dailymaverick.co.za/article/2021-10-03-unions-once-again-present-united-front-this-time-in-sibanye-wage-talks/,strong_case_context_supported,0,9,marikana,1,strike;worker_miner;shooting_death;wage;union;protest_unrest,6,,0,earnings_results;transaction,2
SEC-MEDIA-0076,Exclusive Joseph Mathunjwas 2019 Election As Amcu President Set Aside By Labour Court,2021,Daily Maverick,https://www.dailymaverick.co.za/article/2021-11-25-exclusive-joseph-mathunjwas-2019-election-as-amcu-president-set-aside-by-labour-court/,strong_case_context_supported,0,1,marikana,1,strike;worker_miner;shooting_death;union;protest_unrest,5,,0,,0
SEC-MEDIA-0428,Nearly A Quarter Of Sibanyes South African Employees Now Vaccinated,2021,Engineering News,https://www.engineeringnews.co.za/article/nearly-a-quarter-of-sibanyes-south-african-employees-now-vaccinated-2021-07-29,strong_case_context_supported,0,4,marikana,1,,0,community,1,earnings_results,1
SEC-MEDIA-0616,Sibanye Expects Significant Improvement In 2020 Profit Earnings,2021,Engineering News,https://www.engineeringnews.co.za/article/sibanye-expects-significant-improvement-in-2020-profit-earnings-2021-02-05,strong_case_context_supported,1,5,marikana,1,strike;worker_miner,2,,0,share_price;earnings_results;production_output;funding_debt;transaction;commodity_market,6
SEC-MEDIA-0633,Sibanye Gets Green Light To Administer Covid 19 Vaccines In South Africa,2021,Engineering News,https://www.engineeringnews.co.za/article/sibanye-gets-green-light-to-administer-covid-19-vaccines-in-south-africa-2021-06-24,strong_case_context_supported,0,3,marikana,1,worker_miner,1,community,1,earnings_results,1
SEC-MEDIA-0096,Amcus Mathunjwa Has A Strong Message For Sibanye Ahead Of Wage Talks,2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-06-28-amcus-mathunjwa-has-a-strong-message-for-sibanye-ahead-of-wage-talks/,strong_case_context_supported,0,10,marikana,1,strike;worker_miner;wage;union,4,,0,,0
SEC-MEDIA-0448,Num Amcu To Ramp Up Sibanye Gold Strike Down Tools At Affiliated Platinum Mines,2022,Engineering News,https://www.engineeringnews.co.za/article/num-amcu-to-ramp-up-sibanye-gold-strike-down-tools-at-affiliated-platinum-mines-2022-04-12,strong_case_context_supported,0,10,marikana,1,strike;worker_miner;wage;union;protest_unrest,5,housing,1,earnings_results,1
SEC-MEDIA-0769,Sibanye Restarts Some Safety Affected Operations But Records Another Fatality,2022,Engineering News,https://www.engineeringnews.co.za/article/sibanye-restarts-some-safety-affected-operations-but-records-another-fatality-2022-01-20,strong_case_context_supported,0,13,marikana,1,worker_miner;shooting_death;union,3,,0,earnings_results;production_output;exploration_project,3
SEC-MEDIA-0842,Sibanye Stillwater Delivers Another Record Performance With Highest Ever Dividend,2022,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwater-delivers-another-record-performance-with-highest-ever-dividend-2022-03-03,strong_case_context_supported,0,4,marikana,1,,0,community,1,share_price;earnings_results;production_output;funding_debt;dividend_rights;exploration_project;commodity_market,7
SEC-MEDIA-0935,Sibanye Takes Full Control Of Kroondal For R1 Plus Mine Closure Rehab Costs,2022,Engineering News,https://www.engineeringnews.co.za/article/sibanye-takes-full-control-of-kroondal-for-r1-plus-mine-closure-rehab-costs-2022-01-31,strong_case_context_supported,0,12,marikana,1,,0,commission_inquiry,1,share_price;earnings_results;production_output;transaction;exploration_project,5
SEC-MEDIA-0954,Sibanye To Start Labour Consultations As Beatrix 4 Shaft Kloof 1 Plant Face Closure,2022,Engineering News,https://www.engineeringnews.co.za/article/sibanye-to-start-labour-consultations-as-beatrix-4-shaft-kloof-1-plant-face-closure-2022-11-01,strong_case_context_supported,1,10,marikana,1,union,1,commission_inquiry,1,earnings_results;transaction;exploration_project,3
SEC-MEDIA-0113,Gold One Mine Hostage Drama Signals Possible End Of Num Amcu Honeymoon,2023,Daily Maverick,https://www.dailymaverick.co.za/article/2023-10-23-gold-one-mine-hostage-drama-signals-possible-end-of-num-amcu-honeymoon/,strong_case_context_supported,0,0,marikana,1,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,7,commission_inquiry,1,,0
SEC-MEDIA-0114,Sibanye In Five Year Wage Deal With Amcu And Num Suggesting Gold One Flare Up Is Contained,2023,Daily Maverick,https://www.dailymaverick.co.za/article/2023-11-06-sibanye-in-five-year-wage-deal-with-amcu-and-num-suggesting-gold-one-flare-up-is-contained/,strong_case_context_supported,0,5,marikana,1,worker_miner;police;wage;union;protest_unrest,5,,0,earnings_results,1
