record_id,title,year,publisher,url,stakeholder_group_proxy,stakeholder_confidence,stakeholder_method,stakeholder_score_government,stakeholder_score_investor,stakeholder_score_community,stakeholder_score_labour,stakeholder_score_NGO,stance_a_label,stance_a_score,stance_a_positive_sentences,stance_a_negative_sentences,stance_b_label,stance_b_score,stance_b_positive_sentences,stance_b_negative_sentences,draft_reconstructed_label,annotation_confidence,needs_review,review_reason,positive_cue_families,negative_cue_families,final_reconstructed_label,final_label_method,adjudication_score
expanded_corporate_candidates__EXP-CORP-001,Lonmin Plc Annual Report and Accounts 2010,2010,Lonmin Plc,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2010.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.11778,71,63,1,0.20004,26,24,,0.0636,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.150684
EXP-CORP-005,Lonmin Plc Sustainable Development Report 2018,2018,Lonmin Plc,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/1548855505-lonmin-sdr-2018.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,0,-0.34740,64,91,1,0.70820,45,36,,0.2111,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.074840
CORP-NEWS-002,Constitutional Court of South Africa dismisses applications brought by Greater Lonmin Community,2019,Sibanye-Stillwater,https://thevault.exchange/?get_group_doc=245%2F1567694971-WithLogoConstitutionalCourtofSouthAfricadismissesapplicationsbroughtbyGreaterLonminCommunity5Sep2019.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.69315,3,1,0,-1.00000,0,1,,0.3386,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.015890
CORP-NEWS-006,Marikana Commemoration speakers call for positive change in South Africa,2023,Sibanye-Stillwater,https://thevault.exchange/?get_group_doc=245%2F1692017960-MediareleaseMarikanacommemorationcallforpositivechangeinSA14August2023.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.40547,5,3,1,0.00000,3,3,,0.0811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.243282
EXP-GOV-003,North West Human Settlements on illegal occupants of Marikana houses,2016,North West Human Settlements / South African Government,https://www.gov.za/speeches/illegal-occupants-houses-marikana-stand-be-evicted-19-apr-2016-0000,government,1.0000,document_author_group,10.000,0.000,0.000,0.000,0.000,1,0.45685,1,3,0,-1.00000,0,1,,0.2914,true,stance_readings_disagree_or_low_margin,settlement,,,unresolved_low_combined_margin,-0.125890
EXP-GOV-011,Parliament requests update from SAPS on implementation of recommendations in Panel of Experts Report,2021,Parliament of South Africa,https://www.gov.za/news/media-statements/parliament-requests-update-saps-implementation-recommendations-panel-experts,government,,text_unavailable,,,,,,,,,,,,,,,,true,text_unavailable_at_execution,,,,unresolved_text_or_reading_unavailable,
WEB-GOV-004,Government commemorates the Marikana tragedy,2022,South African Government,https://www.gov.za/news/media-statements/government-commemorates-marikana-tragedy-16-aug-2022,government,,text_unavailable,,,,,,,,,,,,,,,,true,text_unavailable_at_execution,,,,unresolved_text_or_reading_unavailable,
expanded_media_candidates__EXP-MEDIA-001,It's business unusual at 'improving' Lonmin – Munroe,2013,Mining Weekly,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,investor,0.5064,dominant_voice_proxy,2.500,15.700,2.100,7.750,0.000,1,0.33647,6,4,1,0.00000,3,3,,0.0673,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.201882
expanded_media_candidates__EXP-MEDIA-002,Lonmin accelerates union recognition process to ease Marikana tensions,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-accelerates-union-recognition-process-to-ease-marikana-tensions-2013-05-17,labour,0.1625,dominant_voice_proxy,2.500,20.100,0.000,24.000,0.000,1,0.51083,4,2,0,-1.41421,0,2,,0.3850,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.259186
expanded_media_candidates__EXP-MEDIA-003,Lonmin to derecognise smaller unions in favour of AMCU,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,labour,0.1197,dominant_voice_proxy,0.350,15.450,0.000,17.550,0.000,1,0.69315,5,2,0,-1.41421,0,2,,0.4215,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.149794
expanded_media_candidates_02__EXP-MEDIA-037,Lonmin workers embark on illegal work stoppage,2013,Mining Weekly,https://www.miningweekly.com/article/illegal-strike-erupts-at-lonmin-2013-03-05,investor,0.0843,dominant_voice_proxy,0.000,17.200,0.000,15.750,0.000,1,0.40547,2,1,0,-1.00000,0,1,,0.2811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.156718
expanded_media_candidates_02__EXP-MEDIA-040,"AMCU, Lonmin talks reach deadlock, formal arbitration to start",2013,Mining Weekly,https://www.miningweekly.com/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,labour,0.2262,dominant_voice_proxy,0.350,9.750,0.000,12.600,0.000,1,0.69315,3,1,0,-1.00000,0,1,,0.3386,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.015890
expanded_media_candidates_02__EXP-MEDIA-043,AMCU sidelined as platinum producers take offer directly to employees,2014,Mining Weekly,https://www.miningweekly.com/article/amcu-sidelined-as-platinum-producers-take-offer-directly-to-employees-2014-04-25,labour,0.6965,dominant_voice_proxy,0.000,8.300,0.000,27.350,0.000,1,0.40547,2,1,0,-1.00000,0,1,,0.2811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.156718
expanded_media_candidates_batch1__EXP-MEDIA-024,REPUTATION WRECKING BALL,2012,Mining Weekly,https://www.miningweekly.com/article/reputation-wrecking-ball-2012-09-07,investor,0.7000,dominant_voice_proxy,0.000,0.700,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
expanded_media_candidates_batch1__EXP-MEDIA-026,Lonmin says significant safety records achieved at Marikana,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-says-significant-safety-records-achieved-at-marikana-2013-01-24,investor,0.9598,dominant_voice_proxy,0.000,8.700,0.000,0.350,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
expanded_media_candidates_batch1__EXP-MEDIA-040,Recovering platinum miner forging ahead,2013,Engineering News,https://www.engineeringnews.co.za/article/recovering-platinum-miner-forging-ahead-2013-03-15,investor,0.4125,dominant_voice_proxy,1.400,33.700,4.600,19.800,0.000,1,0.35667,9,6,0,-0.71744,3,6,,0.2148,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.072974
expanded_media_candidates_batch1__EXP-MEDIA-043,Profit shifting report false – Lonmin,2014,Engineering News,https://www.engineeringnews.co.za/article/profit-shifting-report-false-lonmin-2014-10-16,investor,0.7570,dominant_voice_proxy,10.350,42.600,0.000,0.000,0.000,1,0.00000,1,1,0,-0.41421,1,2,,0.0828,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.165684
expanded_media_candidates_batch2__EXP-MEDIA-050,Lonmin community wants operations suspended on social failings,2017,Mining Weekly,https://www.miningweekly.com/article/lonmin-community-wants-operations-suspended-on-social-failings-2017-10-25,investor,0.1736,dominant_voice_proxy,5.350,14.400,11.900,0.000,2.500,1,0.00000,2,2,0,-0.41421,1,2,,0.0828,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.165684
SAT-MEDIA-013,Sibanye files court papers to oppose application to halt R5.2bn Lonmin merger,2019,Mining Weekly,https://www.miningweekly.com/article/sibanye-files-court-papers-to-oppose-application-to-halt-r52bn-lonmin-merger-2019-08-02,investor,0.4277,dominant_voice_proxy,8.900,15.550,1.400,1.050,0.000,1,0.00000,2,2,0,-0.41421,1,2,,0.0828,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.165684
EXP-NGO-003,Lonmin Social and Labour Plan Analysis: Qualitative and Quantitative Assessment,2014,South African Human Rights Commission / Marikana Commission,https://sahrc.org.za/home/21/files/Lonmin%20Social%20and%20Labour%20Plan%20Analysis%20Qualitative%20and%20Quantitative%20Assessment%20(Final)[1].pdf,government,1.0000,document_author_group,10.000,0.000,0.000,0.000,0.000,1,0.79718,25,36,0,-1.83772,10,25,,0.5270,true,stance_readings_disagree_or_low_margin,social (?:and )?labou?r plan,,,unresolved_low_combined_margin,-0.256780
EXP-NGO-010,Police Intimidation of Witnesses at Marikana Commission of Inquiry,2012,Socio-Economic Rights Institute of South Africa,https://abahlali.org/node/9299/,NGO,1.0000,document_author_group,0.000,0.000,0.000,0.000,10.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
expanded_official_candidates__EXP-OFFICIAL-007,Mining & Migrancy,2014,Francis Wilson,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Wison.pdf,community,0.3333,dominant_voice_proxy,0.700,0.350,1.050,0.350,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
expanded_official_candidates__EXP-OFFICIAL-008,Workers Bypassing Unions: How to Respond?,2014,Ian Macun / Department of Labour,https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-platinum.pdf,government,1.0000,document_author_group,10.000,0.000,0.000,0.000,0.000,1,0.00000,5,5,0,-0.58579,2,4,,0.1172,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.234316
expanded_official_candidates_batch2__EXP-OFFICIAL-012,Statement of Professor Christof Heyns with annexures,2013,Prof Christof Heyns / SAHRC / Marikana Commission,https://www.justice.gov.za/comm-mrk/exhibits/Exhibit-FFF-24.pdf,government,,text_unavailable,,,,,,,,,,,,,,,,true,text_unavailable_at_execution,,,,unresolved_text_or_reading_unavailable,
DISC-MEDIA-0314,The Irony Of Lonmin An Award Winning Sustainable Investment,2012,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2012-08-27-the-irony-of-lonmin-an-award-winning-sustainable-investment/,investor,0.6468,dominant_voice_proxy,0.350,10.050,3.550,2.850,0.000,1,0.28768,3,2,0,-0.41421,1,2,,0.1404,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.006924
DISC-MEDIA-0321,Marikana Persists Remember The Rule Of Law,2012,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2012-09-12-marikana-persists-remember-the-rule-of-law/,government,0.8000,dominant_voice_proxy,3.500,0.000,0.350,0.700,0.000,0,-0.40547,1,2,1,0.00000,2,2,,0.0811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.243282
DISC-MEDIA-0043,How Sam The Banana Man Zemurray Explains Capitalism And Marikana,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-17-how-sam-the-banana-man-zemurray-explains-capitalism-and-marikana/,government,0.5852,dominant_voice_proxy,6.750,2.800,0.000,0.700,0.000,1,0.28768,3,2,1,0.00000,1,1,,0.0575,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.172608
DISC-MEDIA-0063,Police To People Of Makause March And Therell Be Another Marikana,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-05-police-to-people-of-makause-march-and-therell-be-another-marikana/,government,0.3478,dominant_voice_proxy,40.400,2.500,26.350,0.000,0.000,1,0.11778,8,7,0,-0.23607,4,5,,0.0708,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.023760
DISC-MEDIA-0575,Marikana Tradgedy Has Changed Industry Forever Consultancy,2013,Engineering News,https://www.engineeringnews.co.za/article/marikana-tradgedy-has-changed-industry-forever-consultancy-2013-04-26,labour,0.4155,dominant_voice_proxy,6.050,3.200,0.350,10.350,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
SEC-MEDIA-0241,Amcu To Submit Labour Demands Directly To Companies,2013,Engineering News,https://www.engineeringnews.co.za/article/amcu-to-submit-labour-demands-directly-to-companies-2013-05-09,labour,0.3929,dominant_voice_proxy,2.850,11.050,0.000,18.200,0.000,1,0.84730,6,2,0,-1.41421,0,2,,0.4523,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.057304
DISC-MEDIA-0495,Lonmin Says Amcu Arbitration Postponed Until July,2013,Engineering News,https://www.engineeringnews.co.za/article/lonmin-says-amcu-arbitration-postponed-until-july-2013-06-26,labour,0.3233,dominant_voice_proxy,0.700,11.200,0.000,16.550,0.000,1,0.69315,3,1,0,-1.00000,0,1,,0.3386,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.015890
DISC-MEDIA-0497,Lonmin Says Num Brings Court Application Date Set For July 10,2013,Engineering News,https://www.engineeringnews.co.za/article/lonmin-says-num-brings-court-application-date-set-for-july-10-2013-07-08,labour,0.3679,dominant_voice_proxy,0.350,18.300,0.000,28.950,0.000,1,0.69315,3,1,0,-1.00000,0,1,,0.3386,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.015890
DISC-MEDIA-0631,Several Labour Lessons Learnt From Marikana Tragedy Mpofu,2013,Engineering News,https://www.engineeringnews.co.za/article/several-labour-lessons-learnt-from-marikana-tragedy-mpofu-2013-09-04,labour,0.5447,dominant_voice_proxy,10.700,4.250,0.000,23.500,0.000,1,0.69315,1,0,0,-1.00000,0,1,,0.3386,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.015890
DISC-MEDIA-0659,Solidarity Rejects Lonmin Wage Offer,2013,Engineering News,https://www.engineeringnews.co.za/article/solidarity-rejects-lonmin-wage-offer-2013-10-31,investor,0.0831,dominant_voice_proxy,0.000,18.650,2.500,17.100,0.000,0,-0.28768,2,3,1,0.00000,2,2,,0.0575,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.172608
SEC-MEDIA-0292,Ccma Amcu To Meet On Friday,2014,Engineering News,https://www.engineeringnews.co.za/article/ccma-amcu-to-meet-on-friday-2014-02-13,labour,0.8478,dominant_voice_proxy,0.350,1.050,0.000,6.900,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
SEC-MEDIA-0147,Amcu Ccma Talks Postponed Until Monday,2014,Engineering News,https://www.engineeringnews.co.za/article/amcu-ccma-talks-postponed-until-monday-2014-02-14,labour,0.8478,dominant_voice_proxy,0.350,1.050,0.000,6.900,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
DISC-MEDIA-0448,Lonmin Denies Media Claims Of Rebuff By Marikana Community Over Equity,2014,Engineering News,https://www.engineeringnews.co.za/article/lonmin-denies-media-claims-of-rebuff-by-marikana-community-over-equity-2014-02-28,investor,0.3968,dominant_voice_proxy,0.000,12.600,7.600,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
SEC-MEDIA-0520,Safricas Amcu Says Wage Offer May Not Be Ready For Vote,2014,Engineering News,https://www.engineeringnews.co.za/article/safricas-amcu-says-wage-offer-may-not-be-ready-for-vote-2014-04-24,labour,0.9375,dominant_voice_proxy,0.000,0.700,0.000,11.200,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
DISC-MEDIA-0336,Without A Trace Lonmins Bermuda Connection,2014,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2014-09-19-without-a-trace-lonmins-bermuda-connection/,investor,0.7164,dominant_voice_proxy,3.900,13.750,0.350,0.700,0.000,1,0.40547,2,1,0,-1.00000,0,1,,0.2811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.156718
DISC-MEDIA-0175,Marikana Lonmins Broken Promises,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-11-05-marikana-lonmins-broken-promises/,investor,0.7627,dominant_voice_proxy,0.000,8.850,1.750,2.100,0.000,1,0.40547,2,1,0,-1.00000,0,1,,0.2811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.156718
DISC-MEDIA-0179,Marikana Commission Compensate The Relatives,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-11-14-marikana-commission-compensate-the-relatives/,government,0.6743,dominant_voice_proxy,28.250,8.500,9.200,4.600,3.200,0,-0.28768,11,15,1,0.86714,11,6,,0.2310,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.174248
DISC-MEDIA-0465,Lonmin Launches Youth Training Programme,2015,Engineering News,https://www.engineeringnews.co.za/article/lonmin-launches-youth-training-programme-2015-06-19,community,0.3125,dominant_voice_proxy,0.000,4.400,6.400,0.000,0.000,0,-1.09861,0,2,1,1.41421,2,0,,0.5026,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.093482
DISC-MEDIA-0342,South Africa Post Marikana Report Still Waiting For Leadership,2015,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2015-06-29-south-africa-post-marikana-report-still-waiting-for-leadership/,government,0.5000,dominant_voice_proxy,1.400,0.000,0.700,0.350,0.000,1,0.40547,2,1,1,0.00000,0,0,,0.0811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.243282
DISC-MEDIA-0453,Lonmin Employee Dies After Fall Of Ground,2016,Engineering News,https://www.engineeringnews.co.za/article/lonmin-employee-dies-after-fall-of-ground-2016-07-04,investor,0.1728,dominant_voice_proxy,0.350,4.050,0.700,3.350,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
DISC-MEDIA-0437,Lonmin Community Builds Leader A Palace With Funds Probe Finds,2016,Engineering News,https://www.engineeringnews.co.za/article/lonmin-community-builds-leader-a-palace-with-funds-probe-finds-2016-08-01,community,0.3627,dominant_voice_proxy,0.000,9.400,14.750,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
DISC-MEDIA-0607,Poverty Led To Marikana Tragedy Says Mahumapelo,2016,Engineering News,https://www.engineeringnews.co.za/article/poverty-led-to-marikana-tragedy-says-mahumapelo-2016-12-05,labour,0.1157,dominant_voice_proxy,0.700,1.050,5.350,6.050,0.000,1,0.00000,3,3,1,0.50402,5,3,,0.1008,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.201608
DISC-MEDIA-0225,Marikana Lonmin Defends Housing Plan,2016,Daily Maverick,https://www.dailymaverick.co.za/article/2016-12-13-marikana-lonmin-defends-housing-plan/,investor,0.6304,dominant_voice_proxy,11.750,48.300,17.850,17.100,0.000,1,0.47000,7,4,1,0.00000,3,3,,0.0940,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.282000
DISC-MEDIA-0604,Platinum Price Upturn Needed To Sustain Industry Lonmin,2017,Engineering News,https://www.engineeringnews.co.za/article/platinum-price-upturn-needed-to-sustain-industry-lonmin-2017-01-20,investor,0.8974,dominant_voice_proxy,1.400,13.650,0.350,0.000,0.000,0,-0.40547,1,2,1,0.00000,1,1,,0.0811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.243282
DISC-MEDIA-0541,Lonminshowcases Career Opportunities Beyond Mining To Youth,2017,Engineering News,https://www.engineeringnews.co.za/article/lonminshowcases-career-opportunities-beyond-mining-to-youth-2017-06-30,investor,0.1183,dominant_voice_proxy,2.850,8.450,7.450,0.350,0.000,0,-0.22314,3,4,1,0.00000,2,2,,0.0446,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.133884
DISC-MEDIA-0242,Groundup Marikana Lonmins Dodgy Housing Record,2017,Daily Maverick,https://www.dailymaverick.co.za/article/2017-09-04-groundup-marikana-lonmins-dodgy-housing-record/,investor,0.4814,dominant_voice_proxy,15.300,29.500,3.900,8.100,0.350,1,1.01160,10,3,0,-1.73205,0,3,,0.5487,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.085860
DISC-MEDIA-0619,Retention Of Jobs Critical Following Sibanye Lonmin Deal Zwane,2017,Engineering News,https://www.engineeringnews.co.za/article/retention-of-jobs-critical-following-sibanye-lonmin-deal-zwane-2017-12-15,investor,0.8195,dominant_voice_proxy,2.500,13.850,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
DISC-MEDIA-0391,Competition Watchdog Imposes Conditions On Sibanye Lonmin Deal,2018,Engineering News,https://www.engineeringnews.co.za/article/competition-watchdog-imposes-conditions-on-sibanye-lonmin-deal-2018-09-18,investor,0.7299,dominant_voice_proxy,6.050,22.400,0.700,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
SEC-MEDIA-0213,Amcu Seeks Basic Wage Of R17 000 For Members In Platinum Sector,2019,Engineering News,https://www.engineeringnews.co.za/article/amcu-seeks-basic-wage-of-r17-000-for-members-in-platinum-sector-2019-06-14,labour,0.6331,dominant_voice_proxy,0.350,16.400,0.000,44.700,0.000,1,0.00000,1,1,0,-0.73205,1,3,,0.1464,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.292820
DISC-MEDIA-0263,Its A Done Deal Sibanye Tells Mining Communities Challenging R5Bn Lonmin Merger,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-08-05-its-a-done-deal-sibanye-tells-mining-communities-challenging-r5bn-lonmin-merger/,investor,0.8410,dominant_voice_proxy,8.550,64.800,10.300,5.350,0.000,1,0.81093,8,3,0,-1.41421,0,2,,0.4450,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.079126
DISC-MEDIA-0271,Marikana Occupiers Reach Landmark Agreement With Property Owners,2020,Daily Maverick,https://www.dailymaverick.co.za/article/2020-03-08-marikana-occupiers-reach-landmark-agreement-with-property-owners/,government,0.3772,dominant_voice_proxy,5.700,0.000,3.550,0.000,3.200,1,0.89869,6,8,0,-1.03528,2,6,,0.3868,true,stance_readings_disagree_or_low_margin,agreement,,,unresolved_low_combined_margin,0.125102
DISC-MEDIA-0275,Remembering Marikana Dali Mpofu Demands An Apology And Compensation By 31 August,2020,Daily Maverick,https://www.dailymaverick.co.za/article/2020-08-17-remembering-marikana-dali-mpofu-demands-an-apology-and-compensation-by-31-august/,labour,0.0428,dominant_voice_proxy,15.650,6.400,3.550,16.350,2.500,0,-0.07378,4,16,1,0.03590,4,12,,0.0219,true,stance_readings_disagree_or_low_margin,(?:healing|renewal|reconciliation|remediation|redress|compensation|restorative) | compensation,,,unresolved_low_combined_margin,-0.029908
